,Unnamed: 0,Unnamed: 0.1,French,English
0,2,7,revoir,meet again
1,4,9,place,square
2,5,10,parle,speak
3,6,11,compris,understood
4,7,12,savais,knew
5,8,13,étaient,were
6,9,14,attention,Warning
7,10,15,voici,here is
8,11,16,pourrais,could
9,12,17,affaire,case
10,13,18,donner,give
11,14,19,type,type
12,15,20,leurs,their
13,16,21,donné,given
14,17,22,train,train
15,18,23,corps,body
16,19,24,endroit,place
17,20,25,yeux,eyes
18,21,26,façon,way
19,22,27,écoute,listen
20,23,28,dont,whose
21,24,29,trouve,find
22,25,30,premier,first
23,26,31,perdu,lost
24,27,32,main,hand
25,28,33,première,first
26,29,34,côté,side
27,30,35,pouvoir,power
28,31,36,vieux,old
29,32,37,sois,be
30,33,38,tiens,here
31,34,39,matin,morning
32,35,40,tellement,so much
33,36,41,enfant,child
34,37,42,point,point
35,38,43,venu,came
36,39,44,suite,after
37,40,45,pardon,sorry
38,41,46,venez,come
39,42,47,devant,in front of
40,43,48,vers,towards
41,44,49,minutes,minutes
42,45,50,demandé,request
43,46,51,chambre,bedroom
44,47,52,mis,placed
45,48,53,belle,beautiful
46,49,54,droit,law
47,50,55,aimerais,would like to
48,51,56,aujourd'hui,today
49,52,57,mari,husband
50,53,58,cause,cause
51,54,59,enfin,finally
52,55,60,espère,hope
53,56,61,eau,water
54,57,62,attendez,Wait
55,58,63,parti,left
56,59,64,nouvelle,new
57,60,65,boulot,job
58,61,66,arrêter,Stop
59,62,67,dirait,would say
60,63,68,terre,Earth
61,64,69,compte,account
62,65,70,donne,given
63,66,71,loin,far
64,67,72,fin,end
65,68,73,croire,believe
66,69,74,chérie,sweetheart
67,70,75,gros,large
68,71,76,plutôt,rather
69,72,77,aura,will have
70,73,78,filles,girls
71,74,79,jouer,to play
72,75,80,bureau,office
